10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b1-1910-7b13-90a0-9cb8591e3059 frame_id=5549
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b1-1910-7b13-90a0-9cb8591e3059 remaining=30
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b1-2944-7566-a9a0-8ef9d36c7009 frame_id=5550
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b1-2944-7566-a9a0-8ef9d36c7009 remaining=29
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b1-793c-789f-952a-9f8eefeb4c64 frame_id=5551
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b1-793c-789f-952a-9f8eefeb4c64 remaining=28
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b2-0436-7883-850b-6cd09d61aeb9 frame_id=5552
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b2-0436-7883-850b-6cd09d61aeb9 remaining=27
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b2-2e5f-7d41-9c0a-15de51f78d74 frame_id=5553
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b2-2e5f-7d41-9c0a-15de51f78d74 remaining=26
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b2-a40b-72e0-b970-ad7a57598586 frame_id=5554
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b2-a40b-72e0-b970-ad7a57598586 remaining=25
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b2-f14c-765f-90fa-de3b10bf4e06 frame_id=5555
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b2-f14c-765f-90fa-de3b10bf4e06 remaining=24
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b3-19a3-7e0f-bd8d-df9d22de1909 frame_id=5556
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b3-19a3-7e0f-bd8d-df9d22de1909 remaining=23
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b3-6788-7719-a598-2ea39eb71980 frame_id=5557
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b3-6788-7719-a598-2ea39eb71980 remaining=22
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b3-8f28-7202-84df-9ae6870bedc3 frame_id=5558
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b3-8f28-7202-84df-9ae6870bedc3 remaining=21
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b3-dd39-7f7f-96b1-62defee6f237 frame_id=5559
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b3-dd39-7f7f-96b1-62defee6f237 remaining=20
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-04a8-763d-91d9-60f3ae51889f frame_id=5560
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-04a8-763d-91d9-60f3ae51889f remaining=19
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-115b-7ba6-9986-375f1940aca0 frame_id=5561
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-115b-7ba6-9986-375f1940aca0 remaining=18
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-52c1-748b-81f6-a61853ffd419 frame_id=5562
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-52c1-748b-81f6-a61853ffd419 remaining=17
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-7a30-7e22-8624-8b51b17cb322 frame_id=5563
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-7a30-7e22-8624-8b51b17cb322 remaining=16
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-86f1-7401-997a-deb6551deb84 frame_id=5564
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-86f1-7401-997a-deb6551deb84 remaining=15
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-c84f-783b-90a1-ddd1b8d67274 frame_id=5565
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-c84f-783b-90a1-ddd1b8d67274 remaining=14
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-efbf-7fc1-9c65-d86c8dbe5439 frame_id=5566
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-efbf-7fc1-9c65-d86c8dbe5439 remaining=13
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b4-fc83-7cd2-bf10-772bb4135828 frame_id=5567
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b4-fc83-7cd2-bf10-772bb4135828 remaining=12
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-058c-7faa-92f9-18e3192f1fde frame_id=5568
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-058c-7faa-92f9-18e3192f1fde remaining=11
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-3dd4-7ca4-a300-8c7296ee350e frame_id=5569
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-3dd4-7ca4-a300-8c7296ee350e remaining=10
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-654c-7159-ab46-d9b88aa5ac0e frame_id=5570
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-654c-7159-ab46-d9b88aa5ac0e remaining=9
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-720b-7228-a61d-2ae04f38e071 frame_id=5571
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-720b-7228-a61d-2ae04f38e071 remaining=8
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-7b1a-766c-99cb-7fe8926e3601 frame_id=5572
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-7b1a-766c-99cb-7fe8926e3601 remaining=7
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-b357-7a86-811c-41954e71bf4c frame_id=5573
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-b357-7a86-811c-41954e71bf4c remaining=6
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-dad9-7bea-b353-8bd811532b22 frame_id=5574
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-dad9-7bea-b353-8bd811532b22 remaining=5
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-e793-7408-92fc-5b269aec59a3 frame_id=5575
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-e793-7408-92fc-5b269aec59a3 remaining=4
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b5-f09a-73a1-84b8-1475a40ae4dc frame_id=5576
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b5-f09a-73a1-84b8-1475a40ae4dc remaining=3
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b7-2ae2-7848-8474-b614a44e6f26 frame_id=5577
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b7-2ae2-7848-8474-b614a44e6f26 remaining=2
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b7-690f-744c-80e4-11b5f06e3945 frame_id=5578
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b7-690f-744c-80e4-11b5f06e3945 remaining=1
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b7-6973-7e16-8ddd-38143717271d frame_id=5579
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b7-6973-7e16-8ddd-38143717271d remaining=0
10:56:07 | INFO    | openrecall.client.spool | spool: enqueued capture_id=019cf9b8-db09-7c50-8892-4b58fe146268 size=664572 queue=1
10:56:07 | DEBUG   | openrecall.client.recorder | 📸 trigger=idle device=monitor_1 app=Code window=frames_store.py — MyRecall — 已修改 latency_ms=160 trigger_queue=0 spool=1 monitor=primary 1512x982
10:56:07 | DEBUG   | openrecall.client.recorder | Heartbeat synced: recording=True, upload=True
10:56:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b8-db09-7c50-8892-4b58fe146268 frame_id=5580
10:56:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b8-db09-7c50-8892-4b58fe146268 remaining=0
10:56:11 | INFO    | openrecall.client.recorder | DEBUG: Computing phash for capture
10:56:11 | INFO    | openrecall.client.recorder | DEBUG: phash computed = 16199973623323411608
10:56:11 | INFO    | openrecall.client.spool | spool: enqueued capture_id=019cf9b8-ea71-7b37-93ee-a64dd5e14e59 size=589870 queue=1
10:56:11 | DEBUG   | openrecall.client.recorder | 📸 trigger=click device=monitor_1 app=iTerm2 window=OC | MyRecall-v3 P1-S3 config review for O... latency_ms=225 trigger_queue=1 spool=1 monitor=primary 1512x982
10:56:11 | INFO    | openrecall.client.spool | spool: enqueued capture_id=019cf9b8-eaca-79ce-a1e1-15bcf2519107 size=595528 queue=2
10:56:11 | DEBUG   | openrecall.client.recorder | 📸 trigger=app_switch device=monitor_1 app=iTerm2 window=OC | MyRecall-v3 P1-S3 config review for O... latency_ms=88 trigger_queue=0 spool=2 monitor=primary 1512x982
10:56:11 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b8-ea71-7b37-93ee-a64dd5e14e59 frame_id=5581
10:56:11 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b8-ea71-7b37-93ee-a64dd5e14e59 remaining=1
10:56:11 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b8-eaca-79ce-a1e1-15bcf2519107 frame_id=5582
10:56:11 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b8-eaca-79ce-a1e1-15bcf2519107 remaining=0
10:56:50 | DEBUG   | openrecall.client.recorder | Force-capturing frame for device=monitor_1 after 39.1s of skips (max_skip_duration=30s)
10:56:50 | INFO    | openrecall.client.spool | spool: enqueued capture_id=019cf9b9-836e-74b9-8f5d-250a7f753edf size=561656 queue=1
10:56:50 | DEBUG   | openrecall.client.recorder | 📸 trigger=click device=monitor_1 app=iTerm2 window=OC | MyRecall-v3 P1-S3 config review for O... latency_ms=117 trigger_queue=0 spool=1 monitor=primary 1512x982
10:56:50 | DEBUG   | openrecall.client.recorder | Heartbeat synced: recording=True, upload=True
10:56:50 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b9-836e-74b9-8f5d-250a7f753edf frame_id=5583
10:56:50 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b9-836e-74b9-8f5d-250a7f753edf remaining=0
